Date	Wed Feb 19 18:29:42 EST 2025
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Regulation links followed	Yes
Bonferroni correction	Yes
Uploaded gene list	polycomb gene_list
Annotation file	gene_association.goa_human_hgnc
Ontology file	
Evidence codes used	IMP (25206), IEP (933), ISS (28265), RCA (470), IGI (2047), ISO (11), IEA (73570), ISA (1439), IKR (23), HMP (129), IDA (88710), ND (1706), HEP (70), IBA (68552), IC (6837), TAS (95949), HDA (9421), EXP (613), NAS (7152), IPI (213005), ISM (3)
Unknown identifiers (222)	AC003986.1 AC003986.2 AC003986.3 AC004080.2 AC004080.3 AC004080.4 AC004080.5 AC004080.6 AC005224.2 AC007405.2 AC008060.2 AC008060.3 AC008406.3 AC008808.1 AC008808.2 AC008875.1 AC009166.1 AC009292.2 AC009531.1 AC010478.1 AC010997.3 AC010997.4 AC011396.2 AC011700.1 AC012531.1 AC012531.4 AC012574.1 AC012594.1 AC015911.4 AC016251.2 AC018470.1 AC018553.2 AC018563.1 AC019068.1 AC023886.1 AC025171.1 AC025171.2 AC025171.3 AC025171.5 AC026688.2 AC026704.1 AC027243.1 AC058822.1 AC074099.1 AC078909.1 AC078909.2 AC083795.2 AC084864.1 AC087477.2 AC087477.5 AC087477.6 AC090340.1 AC091076.1 AC091133.2 AC091133.3 AC091959.3 AC091980.2 AC099786.2 AC099786.3 AC100791.2 AC103702.1 AC103702.2 AC103746.1 AC105389.1 AC106738.2 AC106786.1 AC108210.1 AC108482.1 AC116667.2 AL021808.1 AL035443.1 AL049637.2 AL049874.3 AL079303.1 AL121612.2 AL135960.1 AL136366.1 AL137784.1 AL137784.2 AL137784.3 AL138688.1 AL139420.2 AL158013.1 AL158211.3 AL161457.2 AL161781.2 AL161908.1 AL161908.2 AL354863.1 AL355497.1 AL359922.1 AL365259.1 AP000697.1 AP000894.2 AP001122.1 ASTM1-AS1 BARX1-DT C5orf66 CCDC140 CDKN2A-DT CRNDE DLEU2 DLX6-AS1 EMX2OS FENDRR FEZF1-AS1 FIRRE FOXC2-AS1 FOXD1-AS1 FOXD2-AS1 FOXD3-AS1 FZD10-DT GATA2-AS1 GATA3-AS1 GATA6-AS1 HALGR HALGROS HAND2-AS1 HIST1H2BPS2 HIST1H3I HIST1H3L HLX-AS1 HMGN1P6 HNRNPA1P1 HOTAIR HOTAIRM1 HOTTIP HOXA-AS2 HOXA-AS3 HOXA10-AS HOXA11-AS HOXB-AS1 HOXB-AS2 HOXB-AS3 HOXB-AS4 HOXC-AS1 HOXC-AS2 HOXC-AS3 HOXC13-AS HOXD2 LBX1-AS1 LEF1-AS1 LHX5-AS1 LIN28B-AS1 LINC00261 LINC00543 LINC00556 LINC00629 LINC00682 LINC01079 LINC01096 LINC01097 LINC01143 LINC01305 LINC01312 LINC01385 LINC01396 LINC01475 LINC01798 LINC01833 LINC01956 LINC02084 LINC02086 LINC02106 LINC02202 LINC02268 LOC401463 MGC12916 MIR146B MIR148A MIR152 MIR182 MIR196A1 MIR196A2 MIR3663 MIR449A MIR503HG MIR6068 MIR8089 MIR96 MNX1-AS1 MORF4L2P1 NR2F2-AS1 PANCR PAUPAR PGM5-AS1 PLUT PNKDP1 PPIAP28 PTCSC2 RF00017 RF01905 RF01906 RF01954 RF01975 RF01976 RF01979 RF02040 RF02043 RF02142 RF02272 RN7SL272P RNF219-AS1 RNU5D-2P RNU6-1 RNU6-570P SALRNA1 SATB2-AS1 SENCR SIX3-AS1 SOX2-OT SOX21-AS1 SPA17P1 TARID TBX2-AS1 TBX5-AS1 THORLNC TRAPPC2P2 TTC6 ZFHX4-AS1 ZIC4-AS1 ZNF503-AS2

GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:XXXXXXX	unannotated	8.37090686861753e-91	4.02060848636769e-94	228	482	2137	19817	0.00%	0.00	SALRNA1, AC058822.1, HOXB-AS3, ZIC4-AS1, AC003986.2, LINC01396, AL021808.1, AL137784.3, AC008060.2, LINC01143, AL137784.1, HALGROS, LINC01833, AC012594.1, AC099786.2, AC011396.2, LINC01096, HOTTIP, MIR146B, FOXC2-AS1, LINC01097, RF02142, AC084864.1, GATA6-AS1, CFAP77, FEZF1-AS1, LINC01385, AC108482.1, SOX21-AS1, CNPY1, MIR182, LEF1-AS1, AC078909.1, CCDC140, AC103702.1, HOXA-AS3, AC004080.6, RF01906, LINC01798, AC091133.3, AC018553.2, AC106786.1, AC091133.2, AC005224.2, LINC02268, RF01954, AC010997.3, MIR6068, AC100791.2, SIX3-AS1, AC026704.1, AL354863.1, RF01975, HIST1H2BPS2, LINC01475, HIST1H3L, AL161457.2, RNU5D-2P, AC009166.1, HOTAIR, AC004080.2, DLX6-AS1, AL135960.1, HIST1H3I, AC008060.3, HOXC-AS3, AL137784.2, ZNF503-AS2, AL365259.1, AC103746.1, AC103702.2, FZD10-DT, MIR152, TBX2-AS1, RF01979, HLX-AS1, AC025171.5, RN7SL272P, RF00017, TRAPPC2P2, CDKN2A-DT, AC008406.3, LINC02084, AC003986.1, AL049874.3, PTCSC2, FOXD1-AS1, ASTM1-AS1, AC007405.2, AC010478.1, HOXD2, HOXB-AS1, HOXB-AS4, LINC02086, LINC00261, AC009292.2, AL158013.1, PGM5-AS1, MIR148A, HOXA-AS2, AC015911.4, LINC02106, AC023886.1, AL355497.1, RF02040, LINC01956, AC008808.2, ZFHX4-AS1, AC025171.1, AC011700.1, NR2F2-AS1, LINC01305, HALGR, AC012574.1, FOXD3-AS1, AC026688.2, LOC401463, AL161781.2, RF02043, TBX5-AS1, AC018563.1, AC108210.1, AC091076.1, TTC6, RF02272, FENDRR, AC003986.3, LINC01079, AL049637.2, FOXL2NB, MIR96, RNU6-1, MGC12916, MIR449A, AC099786.3, PAUPAR, AC004080.3, MIR196A2, RNU6-570P, AL158211.3, AC019068.1, THORLNC, PANCR, RNF219-AS1, BARX1-DT, HOXA10-AS, HOTAIRM1, AC018470.1, AP001122.1, AC009531.1, C5orf66, CRNDE, AC027243.1, HOXC13-AS, AL121612.2, AL138688.1, SENCR, HAND2-AS1, AL161908.1, AL035443.1, SPA17P1, AC025171.2, AC106738.2, LINC00543, AC116667.2, AC008808.1, AC008875.1, AC090340.1, AC087477.2, PLUT, GATA3-AS1, HNRNPA1P1, MIR8089, EMX2OS, FIRRE, TARID, AC016251.2, AC004080.4, SLFN12, AC091980.2, HOXB-AS2, AL136366.1, LHX5-AS1, GATA2-AS1, LBX1-AS1, HOXA11-AS, HOXC-AS1, AC091959.3, HMGN1P6, ANXA2R, AC087477.5, SOX2-OT, LINC00629, AC078909.2, AC087477.6, MNX1-AS1, AC105389.1, DLEU2, AC012531.1, SATB2-AS1, FOXD2-AS1, AL079303.1, LINC01312, LINC00556, AC012531.4, AP000894.2, AL161908.2, AC074099.1, AP000697.1, AC025171.3, AL359922.1, MIR3663, RF01905, MIR503HG, LINC02202, AC010997.4, MORF4L2P1, AC083795.2, MIR196A1, HOXC-AS2, C17orf82, PNKDP1, LINC00682, RF01976, AL139420.2, AC004080.5, PPIAP28, LIN28B-AS1
GO:0007389	pattern specification process	1.09852309912106e-61	5.27628769990904e-65	99	482	465	19817	0.00%	0.00	SOX1, MSX1, WT1, PAX2, TBX18, TBX5, MEIS1, HOXB4, HOXA2, TBX2, MEIS2, FOXB1, BARX1, ALX4, HOXA4, ZIC3, MSX2, LBX1, LEF1, DLX1, ZIC1, HOXD4, HOXB2, HOXA9, DMRT2, EN1, HOXA5, HOXB3, HOXA6, GSC, HOXA3, PAX8, SP8, VAX2, DLX2, OTX2, HOXB8, DBX1, FOXF1, HOXD3, IRX3, HOXB7, EOMES, HOXB6, LMX1B, HOXC9, FEZF1, PAX6, LHX2, SIM2, ISL1, SATB2, CDX2, HOXC10, GBX2, FOXD1, SIX1, GSX2, NR2F2, HOXB9, HAND1, HOXA10, RAX, FEZF2, HAND2, RNF220, HOXC4, HOXC13, EMX2, PCDH8, PITX2, HOXC8, NKX2-5, HOXD12, DMRTA2, TBX3, HOXB5, TBR1, SOX17, HOXC5, HOXB1, FOXA1, HOXD9, FOXC2, HOXD8, HOXD13, HEY2, HOXC11, SIX2, HOXD11, UNCX, TBX20, HOXA11, DMRT3, GATA4, SIX3, HOXA7, FOXA2, HOXD10
GO:0006357	regulation of transcription by RNA polymerase II	1.01204133602586e-56	4.86090939493688e-60	205	482	2566	19817	0.00%	0.00	EN2, SALL1, WT1, MSX1, GFI1, POU4F2, BARHL2, LHX9, TBX2, HOXA2, HOXB4, DLX5, MEIS1, BHLHE22, DLX1, GATA2, LEF1, ISL2, LBX1, HOXA4, ZIC3, ONECUT2, ALX4, BARX1, HOXB3, SP9, EN1, EBF3, PRDM6, TFAP2D, HOXD4, HOXB2, GSC, HOXA6, TLX3, OSR2, POU4F3, IRX5, PAX5, EOMES, ZFHX3, HOXD3, LHX6, SIM2, FEZF1, MECOM, SIX1, ZIC2, GBX2, ADCYAP1, CBX8, RAX, PRDM1, HOXA10, CCNC, PITX1, HAND1, HOXB9, EVX2, GSX2, PTF1A, FERD3L, NKX6-1, HOXC13, EMX2, CBX2, RUNX3, HOXC4, SKOR2, HAND2, TBR1, TFAP2B, NEUROG2, HOXB5, DMRTA2, TWIST1, POU4F1, PAX9, OLIG3, SOX14, HOXD8, FOXC2, HOXC5, DLX6, HOXB1, HOXC11, LMX1A, HEY2, TCF21, HOXD13, SOX3, TGIF1, TBX15, GATA4, TBX20, FOXB2, SHOX2, DMRT1, UNCX, SIX2, HOXD11, FOXL1, DMBX1, ALX1, LHX5, ZIC4, PAX2, SIX6, NFIB, SOX1, FOXB1, NKX2-4, MEIS2, SOX2, TAL1, ZIC5, TBX5, ZFHX4, TBX18, ZIC1, GATA3, FOXD3, MSX2, SOX21, PDX1, ARX, HOXA5, DMRT2, HOXA1, HOXA9, PAX3, NR2E1, SIM1, HOXC12, FLI1, OTX2, EBF1, FOXE1, NR5A2, DLX2, VAX2, SP8, HOXA3, PAX8, NR4A2, FOXL2, IRX3, HOXB7, MCIDAS, FOXF1, HOXA13, DBX1, HOXB8, NKX2-6, LHX2, SKOR1, PAX6, LMX1B, HOXC9, HOXB6, FOXD1, ONECUT1, HOXC10, CDX2, SATB2, HMX3, ISL1, PHOX2B, HLX, FEZF2, NR2F2, LHX8, GATA6, PITX2, VGLL2, SOX17, TBX3, FOXD2, HOXD12, NKX2-5, BARHL1, LHX4, HOXC8, VAX1, PPRC1, ZNF883, NKX2-3, HOXD9, OLIG1, FOXA1, OLIG2, HOXD1, MNX1, OTP, SIX3, PROX1, DMRT3, HOXA11, PAX7, HOXD10, BSX, FOXA2, HIST1H1B, HOXA7, EBF2
GO:0003002	regionalization	4.80041288287379e-56	2.30567381502103e-59	90	482	418	19817	0.00%	0.00	MSX1, WT1, PAX2, SOX1, TBX2, FOXB1, TBX18, HOXA2, HOXB4, MSX2, LBX1, LEF1, DLX1, BARX1, ALX4, ZIC3, HOXA4, DMRT2, EN1, HOXA5, HOXB3, HOXD4, HOXB2, HOXA9, HOXA6, GSC, VAX2, DLX2, OTX2, PAX8, HOXA3, SP8, HOXB7, IRX3, EOMES, HOXB8, DBX1, FOXF1, HOXD3, PAX6, LHX2, HOXB6, LMX1B, HOXC9, FEZF1, FOXD1, GBX2, SIX1, ISL1, HOXC10, CDX2, HOXA10, FEZF2, GSX2, NR2F2, HAND1, HOXB9, PITX2, PCDH8, RNF220, HAND2, HOXC4, HOXC13, EMX2, NKX2-5, DMRTA2, HOXB5, TBX3, SOX17, TBR1, HOXC8, HOXD9, FOXC2, HOXD8, HOXC5, HOXB1, FOXA1, HEY2, HOXC11, HOXD13, HOXA11, TBX20, DMRT3, GATA4, SIX3, SIX2, HOXD11, FOXA2, HOXD10, HOXA7
GO:0006366	transcription by RNA polymerase II	8.0209807088463e-54	3.85253636351888e-57	205	482	2668	19817	0.00%	0.00	HOXC4, RUNX3, HAND2, SKOR2, HOXC13, EMX2, CBX2, DMRTA2, TBR1, TFAP2B, NEUROG2, HOXB5, TWIST1, GBX2, ADCYAP1, SIX1, ZIC2, CBX8, HOXA10, CCNC, PITX1, PRDM1, RAX, PTF1A, FERD3L, GSX2, NKX6-1, HOXB9, HAND1, EVX2, GATA4, TBX20, TGIF1, TBX15, UNCX, HOXD11, SIX2, FOXB2, SHOX2, DMRT1, FOXL1, DMBX1, ALX1, LHX5, SOX14, HOXD8, OLIG3, FOXC2, PAX9, POU4F1, HOXC5, HOXB1, DLX6, LMX1A, HEY2, TCF21, HOXC11, SOX3, HOXD13, LBX1, ISL2, DLX1, GATA2, BHLHE22, LEF1, ALX4, BARX1, HOXA4, ZIC3, ONECUT2, EN1, EBF3, HOXB3, SP9, TFAP2D, HOXD4, HOXB2, PRDM6, WT1, SALL1, MSX1, EN2, GFI1, POU4F2, BARHL2, LHX9, TBX2, MEIS1, HOXA2, DLX5, HOXB4, ZFHX3, EOMES, HOXD3, LHX6, SIM2, MECOM, FEZF1, TLX3, GSC, HOXA6, POU4F3, IRX5, OSR2, PAX5, PITX2, VGLL2, FOXD2, NKX2-5, BARHL1, HOXD12, SOX17, TBX3, LHX4, HOXC8, FOXD1, SATB2, HMX3, HLX, PHOX2B, ISL1, ONECUT1, HOXC10, CDX2, FEZF2, GATA6, NR2F2, LHX8, DMRT3, PROX1, HOXA11, SIX3, PAX7, FOXA2, HOXD10, BSX, EBF2, HOXA7, HIST1H1B, NKX2-3, HOXD9, VAX1, PPRC1, ZNF883, OLIG1, FOXA1, OLIG2, HOXD1, MNX1, OTP, FOXD3, MSX2, ZIC1, GATA3, PDX1, SOX21, HOXA5, DMRT2, HOXA1, ARX, PAX3, HOXA9, SIX6, PAX2, ZIC4, SOX1, NFIB, SOX2, FOXB1, NKX2-4, MEIS2, ZFHX4, TBX18, TBX5, TAL1, ZIC5, FOXL2, IRX3, HOXB7, DBX1, HOXA13, NKX2-6, HOXB8, MCIDAS, FOXF1, SKOR1, PAX6, LHX2, HOXB6, HOXC9, LMX1B, SIM1, NR2E1, FLI1, HOXC12, DLX2, NR5A2, VAX2, OTX2, FOXE1, EBF1, HOXA3, PAX8, NR4A2, SP8
GO:0048562	embryonic organ morphogenesis	4.53564297906851e-48	2.17850287179083e-51	72	482	295	19817	0.00%	0.00	HOXD9, FOXC2, DLX6, HOXB1, TCF21, HOXC11, HOXA11, TBX20, PROX1, GATA4, TBX15, SIX3, SIX2, SHOX2, HOXD10, ALX1, HOXA7, GBX2, SIX1, HLX, HMX3, SATB2, HAND1, HOXB9, HAND2, MYO3B, HOXC4, NKX2-5, TBX3, HOXB5, SOX17, TWIST1, HOXA6, GSC, IRX5, POU4F3, OSR2, VAX2, DLX2, FOXE1, PAX5, HOXA3, PAX8, HOXB7, FOXL2, HOXB8, FOXF1, HOXD3, PAX6, HOXB6, HOXC9, MSX1, PAX2, TBX2, TBX18, DLX5, HOXB4, HOXA2, LBX1, GATA3, ZIC1, GATA2, ALX4, ZIC3, HOXA4, HOXA1, HOXA5, HOXB3, HOXD4, HOXB2, HOXA9, GJB6
GO:0048598	embryonic morphogenesis	8.81476714977668e-48	4.23379786252482e-51	96	482	600	19817	0.00%	0.00	FOXF1, HOXD3, HOXB8, HOXA13, HOXB7, IRX3, EOMES, FOXL2, HOXC9, HOXB6, LHX2, PAX6, OSR2, IRX5, POU4F3, HOXA6, GSC, SP8, PAX8, HOXA3, OTX2, FOXE1, PAX5, VAX2, DLX2, HOXA4, ZIC3, ALX4, PDX1, GATA3, LEF1, ZIC1, GATA2, MSX2, LBX1, HOXA9, STK3, GJB6, HOXB2, HOXD4, SP9, HOXB3, HOXA1, HOXA5, EN1, PAX2, MSX1, SALL1, HOXB4, HOXA2, DLX5, TAL1, TBX5, TBX18, TBX2, SOX2, SHOX2, SIX2, TBX15, SIX3, TBX20, HOXA11, PROX1, GATA4, ALX1, HOXA7, HOXD10, FOXA2, DLX6, HOXB1, HOXD9, FOXC2, HOXD13, HOXC11, TCF21, HAND2, HOXC4, MYO3B, PCDH8, TWIST1, HOXB5, TBX3, SOX17, HOXD12, NKX2-5, HOXC10, HLX, HMX3, SATB2, SIX1, GBX2, HOXB9, HAND1, GATA6, PITX1, HOXA10
GO:0048568	embryonic organ development	1.10608182106915e-47	5.31259280052426e-51	85	482	451	19817	0.00%	0.00	FOXL2, HOXB7, EOMES, NKX2-6, HOXB8, HOXD3, FOXF1, PAX6, HOXB6, HOXC9, GSC, HOXA6, POU4F3, IRX5, OSR2, DLX2, VAX2, PAX5, FOXE1, PAX8, HOXA3, LBX1, GATA2, ZIC1, LEF1, GATA3, ALX4, HOXA4, ZIC3, EN1, HOXA5, HOXA1, HOXB3, HOXD4, HOXB2, STK3, GJB6, HOXA9, SALL1, MSX1, PAX2, EN2, TBX2, TBX18, TAL1, HOXB4, HOXA2, DLX5, GATA4, TBX20, HOXA11, PROX1, TBX15, SIX3, SIX2, SHOX2, HOXD10, HOXA7, ALX1, FOXC2, HOXD9, HOXB1, DLX6, HEY2, TCF21, HOXC11, PITX2, HOXC4, MYO3B, HAND2, NKX2-5, SOX17, HOXB5, TBX3, TWIST1, GBX2, SIX1, SATB2, HMX3, HLX, CDX2, PRDM1, HOXB9, NR2F2, HAND1
GO:0009887	animal organ morphogenesis	2.89539661055356e-45	1.39068040852717e-48	118	482	1006	19817	0.00%	0.00	HOXD13, HOXC11, HEY2, TCF21, HOXB1, DLX6, FOXA1, PAX9, POU4F1, HOXD9, HOXD8, NKX2-3, FOXC2, ALX1, HOXA7, HOXD10, BSX, SHOX2, HOXD11, SIX2, UNCX, SIX3, TBX15, DMRT3, TBX20, PROX1, HOXA11, GATA4, LHX8, HOXB9, HAND1, NKX6-1, GATA6, PTF1A, GSX2, PRDM1, CDX2, HLX, ISL1, SATB2, HMX3, SIX1, FOXD1, GBX2, TWIST1, HOXC8, LHX4, TFAP2B, TBX3, HOXB5, TBR1, SOX17, NKX2-5, EMX2, HOXC13, HAND2, MYO3B, HOXC4, PITX2, HOXA3, PAX8, FOXE1, PAX5, VAX2, NR5A2, DLX2, FLI1, OSR2, IRX5, POU4F3, HOXA6, GSC, HOXC9, HOXB6, PAX6, FOXF1, HOXD3, HOXB8, HOXA13, IRX3, HOXB7, FOXL2, HOXB4, HOXA2, DLX5, TBX18, TBX5, MEIS1, MEIS2, TBX2, NFIB, LHX9, SOX1, PAX2, SIX6, MSX1, WT1, SALL1, GJB6, HOXA9, HOXD4, HOXB2, PAX3, HOXB3, HOXA1, HOXA5, HOXA4, ZIC3, ONECUT2, ALX4, PDX1, GATA3, LEF1, ZIC1, GATA2, DLX1, MSX2, LBX1
GO:0009790	embryo development	2.43410523166215e-44	1.16911874719604e-47	122	482	1101	19817	0.00%	0.00	RNF220, HAND2, HOXC4, MYO3B, PITX2, PCDH8, TWIST1, NKX2-5, HOXD12, HOXB5, TBX3, SOX17, ISL1, HLX, SATB2, HMX3, HOXC10, CDX2, GBX2, SIX1, GATA6, FERD3L, NR2F2, HAND1, HOXB9, PITX1, HOXA10, PRDM1, NOLC1, SIX2, SEC24C, SHOX2, HOXA11, TBX20, PROX1, GATA4, SIX3, TBX15, ALX1, HOXA7, FOXA2, HOXD10, HOXC5, HOXB1, DLX6, FOXA1, HOXD9, HOXD8, FOXC2, HOXD13, TCF21, HOXD1, HEY2, HOXC11, NUP133, PDX1, ALX4, HOXA4, ZIC3, MSX2, LBX1, FOXD3, GATA3, LEF1, GATA2, ZIC1, DLX1, HOXB2, HOXD4, STK3, GJB6, HOXA9, DMRT2, HOXA1, EN1, HOXA5, SP9, HOXB3, MSX1, SALL1, WT1, PAX2, EN2, TBX18, TBX5, MEIS1, DLX5, HOXB4, HOXA2, TAL1, SOX2, TBX2, MEIS2, FOXB1, NKX2-6, HOXB8, HOXA13, FOXF1, HOXD3, EOMES, IRX3, HOXB7, FOXL2, HOXB6, HOXC9, PAX6, SIM2, LHX2, IRX5, POU4F3, OSR2, HOXA6, GSC, PAX8, HOXA3, SP8, VAX2, DLX2, NR5A2, OTX2, FOXE1, PAX5
