Date	Wed Feb 19 18:29:42 EST 2025
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Regulation links followed	Yes
Bonferroni correction	Yes
Uploaded gene list	polycomb gene_list
Annotation file	gene_association.goa_human_hgnc
Ontology file	
Evidence codes used	IMP (25206), IEP (933), ISS (28265), RCA (470), IGI (2047), ISO (11), IEA (73570), ISA (1439), IKR (23), HMP (129), IDA (88710), ND (1706), HEP (70), IBA (68552), IC (6837), TAS (95949), HDA (9421), EXP (613), NAS (7152), IPI (213005), ISM (3)
Unknown identifiers (222)	AC003986.1 AC003986.2 AC003986.3 AC004080.2 AC004080.3 AC004080.4 AC004080.5 AC004080.6 AC005224.2 AC007405.2 AC008060.2 AC008060.3 AC008406.3 AC008808.1 AC008808.2 AC008875.1 AC009166.1 AC009292.2 AC009531.1 AC010478.1 AC010997.3 AC010997.4 AC011396.2 AC011700.1 AC012531.1 AC012531.4 AC012574.1 AC012594.1 AC015911.4 AC016251.2 AC018470.1 AC018553.2 AC018563.1 AC019068.1 AC023886.1 AC025171.1 AC025171.2 AC025171.3 AC025171.5 AC026688.2 AC026704.1 AC027243.1 AC058822.1 AC074099.1 AC078909.1 AC078909.2 AC083795.2 AC084864.1 AC087477.2 AC087477.5 AC087477.6 AC090340.1 AC091076.1 AC091133.2 AC091133.3 AC091959.3 AC091980.2 AC099786.2 AC099786.3 AC100791.2 AC103702.1 AC103702.2 AC103746.1 AC105389.1 AC106738.2 AC106786.1 AC108210.1 AC108482.1 AC116667.2 AL021808.1 AL035443.1 AL049637.2 AL049874.3 AL079303.1 AL121612.2 AL135960.1 AL136366.1 AL137784.1 AL137784.2 AL137784.3 AL138688.1 AL139420.2 AL158013.1 AL158211.3 AL161457.2 AL161781.2 AL161908.1 AL161908.2 AL354863.1 AL355497.1 AL359922.1 AL365259.1 AP000697.1 AP000894.2 AP001122.1 ASTM1-AS1 BARX1-DT C5orf66 CCDC140 CDKN2A-DT CRNDE DLEU2 DLX6-AS1 EMX2OS FENDRR FEZF1-AS1 FIRRE FOXC2-AS1 FOXD1-AS1 FOXD2-AS1 FOXD3-AS1 FZD10-DT GATA2-AS1 GATA3-AS1 GATA6-AS1 HALGR HALGROS HAND2-AS1 HIST1H2BPS2 HIST1H3I HIST1H3L HLX-AS1 HMGN1P6 HNRNPA1P1 HOTAIR HOTAIRM1 HOTTIP HOXA-AS2 HOXA-AS3 HOXA10-AS HOXA11-AS HOXB-AS1 HOXB-AS2 HOXB-AS3 HOXB-AS4 HOXC-AS1 HOXC-AS2 HOXC-AS3 HOXC13-AS HOXD2 LBX1-AS1 LEF1-AS1 LHX5-AS1 LIN28B-AS1 LINC00261 LINC00543 LINC00556 LINC00629 LINC00682 LINC01079 LINC01096 LINC01097 LINC01143 LINC01305 LINC01312 LINC01385 LINC01396 LINC01475 LINC01798 LINC01833 LINC01956 LINC02084 LINC02086 LINC02106 LINC02202 LINC02268 LOC401463 MGC12916 MIR146B MIR148A MIR152 MIR182 MIR196A1 MIR196A2 MIR3663 MIR449A MIR503HG MIR6068 MIR8089 MIR96 MNX1-AS1 MORF4L2P1 NR2F2-AS1 PANCR PAUPAR PGM5-AS1 PLUT PNKDP1 PPIAP28 PTCSC2 RF00017 RF01905 RF01906 RF01954 RF01975 RF01976 RF01979 RF02040 RF02043 RF02142 RF02272 RN7SL272P RNF219-AS1 RNU5D-2P RNU6-1 RNU6-570P SALRNA1 SATB2-AS1 SENCR SIX3-AS1 SOX2-OT SOX21-AS1 SPA17P1 TARID TBX2-AS1 TBX5-AS1 THORLNC TRAPPC2P2 TTC6 ZFHX4-AS1 ZIC4-AS1 ZNF503-AS2

Terms from the process ontology with p-value <= 0.01.

Of your input list, 482 genes are known or unknown but not ambiguous. Identifiers unknown to the annotation provider are still included in the statistics. The total number of genes used to calculate the background distribution of GO terms is 19817. Displaying 256 terms out of a total of 2082 found.

-- 1 of 2082--
GOID	GO:XXXXXXX
TERM	unannotated
P-VALUE	4.02060848636769e-94
CORRECTED P-VALUE	8.37090686861753e-91
NUM_ANNOTATIONS	228 (of 2137)
ANNOTATED_GENES	SALRNA1, AC058822.1, HOXB-AS3, ZIC4-AS1, AC003986.2, LINC01396, AL021808.1, AL137784.3, AC008060.2, LINC01143, AL137784.1, HALGROS, LINC01833, AC012594.1, AC099786.2, AC011396.2, LINC01096, HOTTIP, MIR146B, FOXC2-AS1, LINC01097, RF02142, AC084864.1, GATA6-AS1, CFAP77, FEZF1-AS1, LINC01385, AC108482.1, SOX21-AS1, CNPY1, MIR182, LEF1-AS1, AC078909.1, CCDC140, AC103702.1, HOXA-AS3, AC004080.6, RF01906, LINC01798, AC091133.3, AC018553.2, AC106786.1, AC091133.2, AC005224.2, LINC02268, RF01954, AC010997.3, MIR6068, AC100791.2, SIX3-AS1, AC026704.1, AL354863.1, RF01975, HIST1H2BPS2, LINC01475, HIST1H3L, AL161457.2, RNU5D-2P, AC009166.1, HOTAIR, AC004080.2, DLX6-AS1, AL135960.1, HIST1H3I, AC008060.3, HOXC-AS3, AL137784.2, ZNF503-AS2, AL365259.1, AC103746.1, AC103702.2, FZD10-DT, MIR152, TBX2-AS1, RF01979, HLX-AS1, AC025171.5, RN7SL272P, RF00017, TRAPPC2P2, CDKN2A-DT, AC008406.3, LINC02084, AC003986.1, AL049874.3, PTCSC2, FOXD1-AS1, ASTM1-AS1, AC007405.2, AC010478.1, HOXD2, HOXB-AS1, HOXB-AS4, LINC02086, LINC00261, AC009292.2, AL158013.1, PGM5-AS1, MIR148A, HOXA-AS2, AC015911.4, LINC02106, AC023886.1, AL355497.1, RF02040, LINC01956, AC008808.2, ZFHX4-AS1, AC025171.1, AC011700.1, NR2F2-AS1, LINC01305, HALGR, AC012574.1, FOXD3-AS1, AC026688.2, LOC401463, AL161781.2, RF02043, TBX5-AS1, AC018563.1, AC108210.1, AC091076.1, TTC6, RF02272, FENDRR, AC003986.3, LINC01079, AL049637.2, FOXL2NB, MIR96, RNU6-1, MGC12916, MIR449A, AC099786.3, PAUPAR, AC004080.3, MIR196A2, RNU6-570P, AL158211.3, AC019068.1, THORLNC, PANCR, RNF219-AS1, BARX1-DT, HOXA10-AS, HOTAIRM1, AC018470.1, AP001122.1, AC009531.1, C5orf66, CRNDE, AC027243.1, HOXC13-AS, AL121612.2, AL138688.1, SENCR, HAND2-AS1, AL161908.1, AL035443.1, SPA17P1, AC025171.2, AC106738.2, LINC00543, AC116667.2, AC008808.1, AC008875.1, AC090340.1, AC087477.2, PLUT, GATA3-AS1, HNRNPA1P1, MIR8089, EMX2OS, FIRRE, TARID, AC016251.2, AC004080.4, SLFN12, AC091980.2, HOXB-AS2, AL136366.1, LHX5-AS1, GATA2-AS1, LBX1-AS1, HOXA11-AS, HOXC-AS1, AC091959.3, HMGN1P6, ANXA2R, AC087477.5, SOX2-OT, LINC00629, AC078909.2, AC087477.6, MNX1-AS1, AC105389.1, DLEU2, AC012531.1, SATB2-AS1, FOXD2-AS1, AL079303.1, LINC01312, LINC00556, AC012531.4, AP000894.2, AL161908.2, AC074099.1, AP000697.1, AC025171.3, AL359922.1, MIR3663, RF01905, MIR503HG, LINC02202, AC010997.4, MORF4L2P1, AC083795.2, MIR196A1, HOXC-AS2, C17orf82, PNKDP1, LINC00682, RF01976, AL139420.2, AC004080.5, PPIAP28, LIN28B-AS1

-- 2 of 2082--
GOID	GO:0007389
TERM	pattern specification process
P-VALUE	5.27628769990904e-65
CORRECTED P-VALUE	1.09852309912106e-61
NUM_ANNOTATIONS	99 (of 465)
ANNOTATED_GENES	SOX1, MSX1, WT1, PAX2, TBX18, TBX5, MEIS1, HOXB4, HOXA2, TBX2, MEIS2, FOXB1, BARX1, ALX4, HOXA4, ZIC3, MSX2, LBX1, LEF1, DLX1, ZIC1, HOXD4, HOXB2, HOXA9, DMRT2, EN1, HOXA5, HOXB3, HOXA6, GSC, HOXA3, PAX8, SP8, VAX2, DLX2, OTX2, HOXB8, DBX1, FOXF1, HOXD3, IRX3, HOXB7, EOMES, HOXB6, LMX1B, HOXC9, FEZF1, PAX6, LHX2, SIM2, ISL1, SATB2, CDX2, HOXC10, GBX2, FOXD1, SIX1, GSX2, NR2F2, HOXB9, HAND1, HOXA10, RAX, FEZF2, HAND2, RNF220, HOXC4, HOXC13, EMX2, PCDH8, PITX2, HOXC8, NKX2-5, HOXD12, DMRTA2, TBX3, HOXB5, TBR1, SOX17, HOXC5, HOXB1, FOXA1, HOXD9, FOXC2, HOXD8, HOXD13, HEY2, HOXC11, SIX2, HOXD11, UNCX, TBX20, HOXA11, DMRT3, GATA4, SIX3, HOXA7, FOXA2, HOXD10

-- 3 of 2082--
GOID	GO:0006357
TERM	regulation of transcription by RNA polymerase II
P-VALUE	4.86090939493688e-60
CORRECTED P-VALUE	1.01204133602586e-56
NUM_ANNOTATIONS	205 (of 2566)
