GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006355	regulation of DNA-templated transcription	209	256	81.64%	3393	18890	17.96%	ADCYAP1, ALX1, ALX4, ARX, BARHL1, BARHL2, BARX1, BHLHE22, BSX, C14orf39, CBX2, CBX8, CCNC, CDKN2A, CDX2, DBX1, DLX1, DLX2, DLX5, DLX6, DMBX1, DMRT1, DMRT2, DMRT3, DMRTA2, EBF1, EBF2, EBF3, EMX2, EN1, EN2, EOMES, EVX2, FERD3L, FEZF1, FEZF2, FLI1, FOXA1, FOXA2, FOXB1, FOXB2, FOXC2, FOXD1, FOXD2, FOXD3, FOXE1, FOXF1, FOXL1, FOXL2, GATA2, GATA3, GATA4, GATA6, GBX2, GFI1, GSC, GSX2, HAND1, HAND2, HEY2, HIST1H1B, HLX, HOXA1, HOXA10, HOXA11, HOXA13, HOXA2, HOXA3, HOXA4, HOXA5, HOXA6, HOXA7, HOXA9, HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HOXC10, HOXC11, HOXC12, HOXC13, HOXC4, HOXC5, HOXC8, HOXC9, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, INO80B, IRX3, IRX5, ISL1, ISL2, LBX1, LEF1, LHX2, LHX4, LHX5, LHX6, LHX8, LHX9, LMX1A, LMX1B, MCIDAS, MECOM, MEIS1, MEIS2, MNX1, MSX1, MSX2, NEUROG2, NFIB, NKX2-3, NKX2-4, NKX2-5, NKX2-6, NKX6-1, NOLC1, NR2E1, NR2F2, NR4A2, NR5A2, OLIG1, OLIG2, OLIG3, ONECUT1, ONECUT2, OSR2, OTP, OTX2, PAX2, PAX3, PAX5, PAX6, PAX7, PAX8, PAX9, PHOX2B, PITX1, PITX2, POU4F1, POU4F2, POU4F3, PPRC1, PRDM1, PRDM6, PRKCH, PROX1, PTF1A, RNF220, RUNX3, SALL1, SATB2, SHOX2, SIM1, SIM2, SIX1, SIX2, SIX3, SIX6, SKOR1, SKOR2, SOX1, SOX14, SOX17, SOX2, SOX21, SOX3, SP8, SP9, TAL1, TBR1, TBX15, TBX18, TBX2, TBX20, TBX3, TBX5, TCF21, TFAP2B, TFAP2D, TGIF1, TLX3, TWIST1, UNCX, VAX1, VAX2, VGLL2, WT1, ZFHX3, ZFHX4, ZIC1, ZIC2, ZIC3, ZIC4, ZIC5, ZNF503, ZNF883
GO:0048856	anatomical structure development	209	256	81.64%	5678	18890	30.06%	ADCYAP1, ALX1, ALX4, ARX, BARHL1, BARHL2, BARX1, BHLHE22, BSX, C14orf39, CBX2, CCNO, CDX2, DBX1, DLX1, DLX2, DLX5, DLX6, DMBX1, DMRT1, DMRT2, DMRT3, DMRTA2, EBF2, EMX2, EN1, EN2, EOMES, EVX2, FERD3L, FEZF1, FEZF2, FLI1, FOXA1, FOXA2, FOXB1, FOXB2, FOXC2, FOXD1, FOXD2, FOXD3, FOXE1, FOXF1, FOXL1, FOXL2, FZD10, GATA2, GATA3, GATA4, GATA6, GBX2, GFI1, GJB2, GJB6, GSC, GSX2, HAND1, HAND2, HEY2, HIST1H1B, HLX, HOXA1, HOXA10, HOXA11, HOXA13, HOXA2, HOXA3, HOXA4, HOXA5, HOXA6, HOXA7, HOXA9, HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HOXC10, HOXC11, HOXC13, HOXC4, HOXC5, HOXC8, HOXC9, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, IGF2BP1, IGF2BP3, IRX3, IRX5, ISL1, ISL2, LBX1, LEF1, LHX2, LHX4, LHX5, LHX6, LHX8, LHX9, LMX1A, LMX1B, MCIDAS, MECOM, MEIS1, MEIS2, MNX1, MSX1, MSX2, MYO3B, NEUROG2, NFIB, NKX2-3, NKX2-5, NKX2-6, NKX6-1, NOLC1, NR2E1, NR2F2, NR4A2, NR5A2, NUP133, OLIG1, OLIG2, OLIG3, ONECUT1, ONECUT2, OSR2, OSTM1, OTP, OTX2, PAX2, PAX3, PAX5, PAX6, PAX7, PAX8, PAX9, PCDH8, PGM5, PHOX2B, PITX1, PITX2, POU4F1, POU4F2, POU4F3, PRDM1, PRDM6, PRKCH, PROX1, PTF1A, RNF220, RUNX3, SALL1, SATB2, SEC24C, SHOX2, SIM1, SIM2, SIX1, SIX2, SIX3, SIX6, SLC17A6, SOX1, SOX14, SOX17, SOX2, SOX21, SOX3, SP8, SP9, SPAG6, TAL1, TBR1, TBX15, TBX18, TBX2, TBX20, TBX3, TBX5, TCF21, TFAP2B, TFAP2D, TLX3, TWIST1, UNCX, VAX1, VAX2, VGLL2, WT1, ZDBF2, ZFHX3, ZIC1, ZIC2, ZIC3, ZIC4, ZIC5
GO:0030154	cell differentiation	170	256	66.41%	4152	18890	21.98%	ADCYAP1, ALX1, ARX, BARHL1, BARHL2, BARX1, BHLHE22, C14orf39, CBX2, CCNO, CDX2, DBX1, DLX1, DLX2, DLX5, DLX6, DMRT1, DMRT3, DMRTA2, EBF2, EMX2, EN1, EN2, EOMES, FERD3L, FEZF1, FEZF2, FLI1, FOXA1, FOXA2, FOXB1, FOXB2, FOXC2, FOXD1, FOXD2, FOXD3, FOXE1, FOXF1, FOXL1, FOXL2, FZD10, GATA2, GATA3, GATA4, GATA6, GBX2, GFI1, GSC, GSX2, HAND1, HAND2, HEY2, HLX, HOXA11, HOXA13, HOXA2, HOXA5, HOXA7, HOXA9, HOXB3, HOXB4, HOXB5, HOXB7, HOXB8, HOXC10, HOXC8, HOXD1, HOXD10, HOXD3, HOXD9, IGF2BP1, IRX3, IRX5, ISL1, ISL2, LBX1, LEF1, LHX2, LHX4, LHX5, LHX6, LHX8, LHX9, LMX1A, LMX1B, MCIDAS, MECOM, MEIS1, MEIS2, MNX1, MSX1, MSX2, NEUROG2, NFIB, NKX2-3, NKX2-4, NKX2-5, NKX2-6, NKX6-1, NOLC1, NR2E1, NR2F2, NR4A2, NR5A2, NUP133, OLIG1, OLIG2, OLIG3, ONECUT1, ONECUT2, OSR2, OSTM1, OTP, OTX2, PAX2, PAX5, PAX6, PAX8, PGM5, PHOX2B, PITX1, PITX2, POU4F1, POU4F2, POU4F3, PRDM1, PRDM6, PRKCH, PROX1, PTF1A, RNF220, RUNX3, SALL1, SATB2, SHOX2, SIM1, SIM2, SIX1, SIX2, SIX3, SOX1, SOX14, SOX17, SOX2, SOX21, SOX3, SPAG6, TAL1, TBR1, TBX15, TBX18, TBX2, TBX20, TBX3, TBX5, TCF21, TFAP2B, TLX3, TWIST1, UNCX, VAX1, VAX2, WT1, ZDBF2, ZFHX3, ZIC1, ZIC2, ZIC3, ZIC5, ZNF503
GO:0023052	signaling	79	256	30.86%	6449	18890	34.14%	ADCYAP1, BARX1, BTNL9, CCNC, CDKN2A, DLX1, DLX2, DLX5, DMRT1, FOXA1, FOXA2, FOXC2, FOXD1, FOXF1, FOXL1, FOXL2, FZD10, GAD1, GAD2, GATA2, GATA3, GATA4, GATA6, GFI1, GJA3, GJB2, GJB6, GSC, GSX2, HAND2, HEY2, HOXA13, HOXA5, HOXD3, ISL1, LEF1, LHX5, MECOM, MSX1, MSX2, NKX2-5, NKX6-1, NOXA, NR2E1, NR2F2, NR4A2, NR5A2, ONECUT1, ONECUT2, OTX2, PAX2, PAX6, PAX8, PCDH8, POU4F1, POU4F2, PRKCH, PROX1, PTF1A, RNF220, SALL1, SHOX2, SIX1, SKOR1, SKOR2, SLC17A6, SOX17, SOX2, TAL1, TBX18, TBX2, TBX20, TBX3, TBX5, TCF21, TFAP2B, TWIST1, VAX2, ZIC1
GO:0048870	cell motility	50	256	19.53%	1670	18890	8.84%	ALX1, ARX, BARHL1, BARHL2, DMRT1, EMX2, FEZF1, FEZF2, FOXB1, FOXC2, FOXE1, FOXF1, GATA2, GATA3, GBX2, GSX2, HAND2, HOXA5, HOXA7, HOXB9, ISL1, LEF1, LHX6, MSX2, NKX2-3, NKX6-1, NR2E1, NR2F2, NR4A2, OLIG3, ONECUT1, ONECUT2, PAX6, PHOX2B, PITX2, POU4F1, PROX1, SATB2, SIX1, SIX2, SIX3, SOX1, SOX14, SOX17, SPAG6, TBX20, TBX5, TLX3, TWIST1, VAX1
GO:0012501	programmed cell death	46	256	17.97%	1905	18890	10.08%	ALX4, BARHL1, CDKN2A, DLX1, EN1, EN2, FOXA1, FOXB1, FOXC2, FOXL2, GATA2, GATA3, GATA4, GATA6, GJB6, HAND2, HEY2, HOXA13, HOXA5, ISL1, LEF1, LHX4, MECOM, MSX1, MSX2, NKX2-5, NKX2-6, NOXA, NR2E1, NR4A2, PAX2, PAX3, PAX7, PAX8, POU4F1, POU4F2, POU4F3, PRKCH, SIX1, SIX3, TBX2, TBX3, TFAP2B, TFAP2D, TWIST1, WT1
GO:0002376	immune system process	39	256	15.23%	2668	18890	14.12%	BARX1, BTNL9, CUEDC2, EOMES, FOXE1, FOXF1, FOXL1, GATA2, GATA3, GATA6, GFI1, HAND2, HLX, HOXA3, HOXA5, HOXA7, HOXA9, HOXB4, HOXB6, HOXB8, LEF1, MEIS1, MEIS2, NKX2-3, NKX2-5, NOXA, ONECUT1, PAX5, PITX2, POU4F1, POU4F2, PRDM1, PRKCH, RUNX3, SIX1, TAL1, TCF21, ULBP1, WDR41
GO:0022414	reproductive process	38	256	14.84%	1459	18890	7.72%	ADCYAP1, C14orf39, CBX2, DMRT1, DMRT2, DMRT3, DMRTA2, EOMES, FOXA1, FOXL2, GATA3, GATA4, GATA6, GJB2, HAND1, HOXA10, HOXA11, HOXA13, HOXD10, HOXD13, HOXD9, IRX5, LHX8, LHX9, MSX1, MSX2, NR2F2, PAX5, POU4F2, PRDM1, SALL1, SOX17, SOX3, SPAG6, TBX3, TCF21, WT1, ZDBF2
GO:0050877	nervous system process	35	256	13.67%	1530	18890	8.10%	BARHL1, DMRT3, EN1, FOXB1, GJA3, GJB2, GJB6, GSX2, HOXA1, HOXB8, HOXC10, HOXD1, HOXD10, IRX5, LEF1, LHX8, LMX1A, MEIS2, MYO3B, NR2E1, PAX2, PAX3, PAX6, PHOX2B, POU4F1, POU4F2, POU4F3, SIX1, SIX3, SIX6, SOX14, TBR1, TLX3, VAX2, ZIC2
GO:0007155	cell adhesion	17	256	6.64%	1514	18890	8.01%	CDKN2A, FOXA1, FOXA2, FOXC2, FOXF1, GATA3, HLX, HOXA7, HOXD3, LEF1, ONECUT1, ONECUT2, PCDH8, PGM5, RUNX3, SOX2, ZFHX3
