Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Ensembl Canonical
ENSG00000180318,ENSG00000180318.4,ENST00000316824,ENST00000316824.4,1
ENSG00000052850,ENSG00000052850.8,ENST00000652299,ENST00000652299.1,1
ENSG00000004848,ENSG00000004848.8,ENST00000379044,ENST00000379044.5,1
ENSG00000004848,ENSG00000004848.8,ENST00000636885,ENST00000636885.1,
ENSG00000004848,ENSG00000004848.8,ENST00000637993,ENST00000637993.1,
ENSG00000004848,ENSG00000004848.8,ENST00000636609,ENST00000636609.1,
ENSG00000004848,ENSG00000004848.8,ENST00000637394,ENST00000637394.1,
ENSG00000125492,ENSG00000125492.11,ENST00000263610,ENST00000263610.7,1
ENSG00000143032,ENSG00000143032.8,ENST00000370445,ENST00000370445.5,1
ENSG00000131668,ENSG00000131668.14,ENST00000253968,ENST00000253968.11,1
ENSG00000131668,ENSG00000131668.14,ENST00000401724,ENST00000401724.1,
ENSG00000180828,ENSG00000180828.3,ENST00000321870,ENST00000321870.3,1
ENSG00000188909,ENSG00000188909.5,ENST00000343035,ENST00000343035.3,1
ENSG00000173894,ENSG00000173894.11,ENST00000310942,ENST00000310942.9,1
ENSG00000173894,ENSG00000173894.11,ENST00000571484,ENST00000571484.1,
ENSG00000173894,ENSG00000173894.11,ENST00000269399,ENST00000269399.5,
ENSG00000165556,ENSG00000165556.10,ENST00000381020,ENST00000381020.8,1
ENSG00000165556,ENSG00000165556.10,ENST00000548877,ENST00000548877.1,
ENSG00000109851,ENSG00000109851.7,ENST00000524983,ENST00000524983.3,1
ENSG00000292098,ENSG00000292098.1,ENST00000709710,ENST00000709710.1,
ENSG00000292098,ENSG00000292098.1,ENST00000709711,ENST00000709711.1,
ENSG00000292098,ENSG00000292098.1,ENST00000709712,ENST00000709712.1,1
ENSG00000292098,ENSG00000292098.1,ENST00000709713,ENST00000709713.1,
ENSG00000292098,ENSG00000292098.1,ENST00000709714,ENST00000709714.1,
ENSG00000292098,ENSG00000292098.1,ENST00000709715,ENST00000709715.1,
ENSG00000292098,ENSG00000292098.1,ENST00000709716,ENST00000709716.1,
ENSG00000144355,ENSG00000144355.15,ENST00000361609,ENST00000361609.4,
ENSG00000144355,ENSG00000144355.15,ENST00000469444,ENST00000469444.6,
ENSG00000144355,ENSG00000144355.15,ENST00000361725,ENST00000361725.5,1
ENSG00000144355,ENSG00000144355.15,ENST00000341900,ENST00000341900.6,
ENSG00000144355,ENSG00000144355.15,ENST00000409492,ENST00000409492.1,
ENSG00000144355,ENSG00000144355.15,ENST00000475989,ENST00000475989.2,
ENSG00000144355,ENSG00000144355.15,ENST00000550686,ENST00000550686.1,
ENSG00000115844,ENSG00000115844.11,ENST00000234198,ENST00000234198.9,1
ENSG00000115844,ENSG00000115844.11,ENST00000466293,ENST00000466293.2,
ENSG00000105880,ENSG00000105880.7,ENST00000648378,ENST00000648378.1,1
ENSG00000105880,ENSG00000105880.7,ENST00000493764,ENST00000493764.1,
ENSG00000105880,ENSG00000105880.7,ENST00000486603,ENST00000486603.2,
ENSG00000006377,ENSG00000006377.11,ENST00000518156,ENST00000518156.3,1
ENSG00000006377,ENSG00000006377.11,ENST00000493273,ENST00000493273.2,
ENSG00000006377,ENSG00000006377.11,ENST00000555308,ENST00000555308.1,
ENSG00000197587,ENSG00000197587.12,ENST00000360032,ENST00000360032.4,1
ENSG00000137090,ENSG00000137090.12,ENST00000564322,ENST00000564322.1,
ENSG00000137090,ENSG00000137090.12,ENST00000382276,ENST00000382276.8,1
ENSG00000137090,ENSG00000137090.12,ENST00000569227,ENST00000569227.1,
ENSG00000173253,ENSG00000173253.16,ENST00000635183,ENST00000635183.1,
