source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048518,positive regulation of biological process,1.8087112619418203e-90,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6235,457,346,21017,0.7571115973741794,0.05549318364073777,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0048513,animal organ development,1.284291119376597e-89,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3047,457,251,21017,0.5492341356673961,0.08237610764686577,query_1,['GO:0048856']
GO:BP,GO:0008283,cell population proliferation,2.703654297666518e-88,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2009,457,208,21017,0.4551422319474836,0.10353409656545545,query_1,['GO:0009987']
GO:BP,GO:0032501,multicellular organismal process,7.889401039775543e-88,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7234,457,366,21017,0.8008752735229759,0.05059441526126624,query_1,['GO:0008150']
GO:BP,GO:0048856,anatomical structure development,1.1007224404901855e-86,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5924,457,334,21017,0.7308533916849015,0.05638082376772451,query_1,['GO:0032502']
GO:BP,GO:0048522,positive regulation of cellular process,8.629615454081457e-86,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5886,457,332,21017,0.7264770240700219,0.0564050288820931,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0032502,developmental process,2.323061366456926e-85,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6478,457,346,21017,0.7571115973741794,0.053411546773695584,query_1,['GO:0008150']
GO:BP,GO:0042127,regulation of cell population proliferation,1.2851610997728867e-83,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1682,457,188,21017,0.4113785557986871,0.1117717003567182,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0048731,system development,3.892165246386975e-82,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",3985,457,274,21017,0.5995623632385121,0.06875784190715183,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007275,multicellular organism development,3.4201724398602736e-80,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4658,457,292,21017,0.6389496717724289,0.0626878488621726,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0050793,regulation of developmental process,1.3805225474542832e-79,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2453,457,217,21017,0.474835886214442,0.08846310640032613,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0051239,regulation of multicellular organismal process,1.180821349725616e-78,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2928,457,234,21017,0.5120350109409191,0.07991803278688525,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0009653,anatomical structure morphogenesis,4.230958055348892e-75,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2692,457,221,21017,0.48358862144420134,0.08209509658246657,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0030154,cell differentiation,1.0614249188425553e-74,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4381,457,277,21017,0.6061269146608315,0.06322757361333028,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,1.1208544248081891e-74,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4382,457,277,21017,0.6061269146608315,0.06321314468279325,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0009888,tissue development,8.582619046346264e-73,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2012,457,191,21017,0.4179431072210066,0.09493041749502983,query_1,['GO:0048856']
GO:BP,GO:0042221,response to chemical,1.9526592164317465e-71,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3867,457,257,21017,0.562363238512035,0.06645978794931472,query_1,['GO:0050896']
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,4.4787047695219686e-69,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3349,457,237,21017,0.5185995623632386,0.07076739325171694,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:0009893,positive regulation of metabolic process,1.3542544403075437e-67,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",3648,457,245,21017,0.5361050328227571,0.06716008771929824,query_1,"['GO:0008152', 'GO:0019222', 'GO:0048522']"
