,GO id,GO name,GO namespace,p-value,corrected p-value,cluster freq,background freq
0,GO:0003723,RNA binding,molecular_function,7.648665267227747e-164,3.50079409281014e-160,223/321 (69.47%),1685/19699 (8.55%)
1,GO:0016070,RNA metabolic process,biological_process,3.403981552071684e-96,7.790011781916049e-93,165/321 (51.40%),1552/19699 (7.88%)
2,GO:0003729,mRNA binding,molecular_function,1.2915429701173e-91,1.9704640580756273e-88,95/321 (29.60%),345/19699 (1.75%)
3,GO:0141187,nucleic acid biosynthetic process,biological_process,1.7802048469018064e-85,2.036999396067392e-82,153/321 (47.66%),1492/19699 (7.57%)
4,GO:0005634,nucleus,cellular_component,1.0228983790163055e-76,9.36361176151526e-74,284/321 (88.47%),7721/19699 (39.19%)
5,GO:0034654,nucleobase-containing compound biosynthetic process,biological_process,3.2204760452631773e-75,2.4566864765282603e-72,154/321 (47.98%),1783/19699 (9.05%)
6,GO:0010467,gene expression,biological_process,1.6050187886023597e-74,1.0494529993475716e-71,177/321 (55.14%),2524/19699 (12.81%)
7,GO:0006139,nucleobase-containing compound metabolic process,biological_process,1.9565592917199014e-73,1.1193964847752487e-70,182/321 (56.70%),2738/19699 (13.90%)
8,GO:1903311,regulation of mRNA metabolic process,biological_process,6.159376382480657e-73,3.1323850780682185e-70,79/321 (24.61%),307/19699 (1.56%)
9,GO:0005654,nucleoplasm,cellular_component,8.759587561000189e-72,4.009263226669787e-69,217/321 (67.60%),4218/19699 (21.41%)
10,GO:0031981,nuclear lumen,cellular_component,6.314894134224589e-71,2.627570041122359e-68,224/321 (69.78%),4586/19699 (23.28%)
11,GO:0006397,mRNA processing,biological_process,1.1805092770250576e-67,4.5026591341197405e-65,87/321 (27.10%),466/19699 (2.37%)
12,GO:0009059,macromolecule biosynthetic process,biological_process,5.782457941601101e-67,2.0358699999006338e-64,180/321 (56.07%),2923/19699 (14.84%)
13,GO:0010468,regulation of gene expression,biological_process,9.443853809534873e-65,3.087465634731508e-62,223/321 (69.47%),4877/19699 (24.76%)
