From	To	Species	Gene Name
RPL5	ENSG00000122406	Homo sapiens	ribosomal protein L5(RPL5)
RPL4	ENSG00000174444	Homo sapiens	ribosomal protein L4(RPL4)
SCOC	ENSG00000153130	Homo sapiens	short coiled-coil protein(SCOC)
SPI1	ENSG00000066336	Homo sapiens	Spi-1 proto-oncogene(SPI1)
RTCB	ENSG00000100220	Homo sapiens	RNA 2',3'-cyclic phosphate and 5'-OH ligase(RTCB)
EIF4A3	ENSG00000291508	Homo sapiens	eukaryotic translation initiation factor 4A3(EIF4A3)
EIF4A3	ENSG00000141543	Homo sapiens	eukaryotic translation initiation factor 4A3(EIF4A3)
HNRNPU	ENSG00000153187	Homo sapiens	heterogeneous nuclear ribonucleoprotein U(HNRNPU)
IFIT2	ENSG00000119922	Homo sapiens	interferon induced protein with tetratricopeptide repeats 2(IFIT2)
TPGS2	ENSG00000134779	Homo sapiens	tubulin polyglutamylase complex subunit 2(TPGS2)
TIAL1	ENSG00000151923	Homo sapiens	TIA1 cytotoxic granule associated RNA binding protein like 1(TIAL1)
SOX2	ENSG00000181449	Homo sapiens	SRY-box transcription factor 2(SOX2)
ALKBH5	ENSG00000091542	Homo sapiens	alkB homolog 5, RNA demethylase(ALKBH5)
LSM11	ENSG00000155858	Homo sapiens	LSM11, U7 small nuclear RNA associated(LSM11)
DPYSL2	ENSG00000092964	Homo sapiens	dihydropyrimidinase like 2(DPYSL2)
HOXA3	ENSG00000105997	Homo sapiens	homeobox A3(HOXA3)
TRIM25	ENSG00000121060	Homo sapiens	tripartite motif containing 25(TRIM25)
RPS11	ENSG00000142534	Homo sapiens	ribosomal protein S11(RPS11)
PDK1	ENSG00000152256	Homo sapiens	pyruvate dehydrogenase kinase 1(PDK1)
MBNL1	ENSG00000152601	Homo sapiens	muscleblind like splicing regulator 1(MBNL1)
RBFOX1	ENSG00000078328	Homo sapiens	RNA binding fox-1 homolog 1(RBFOX1)
MBNL2	ENSG00000139793	Homo sapiens	muscleblind like splicing regulator 2(MBNL2)
RBFOX2	ENSG00000100320	Homo sapiens	RNA binding fox-1 homolog 2(RBFOX2)
RBFOX2	ENSG00000277564	Homo sapiens	RNA binding fox-1 homolog 2(RBFOX2)
METTL1	ENSG00000037897	Homo sapiens	methyltransferase 1, tRNA methylguanosine(METTL1)
RC3H1	ENSG00000135870	Homo sapiens	ring finger and CCCH-type domains 1(RC3H1)
CRNKL1	ENSG00000101343	Homo sapiens	crooked neck pre-mRNA splicing factor 1(CRNKL1)
RUNX3	ENSG00000020633	Homo sapiens	RUNX family transcription factor 3(RUNX3)
SND1	ENSG00000197157	Homo sapiens	staphylococcal nuclease and tudor domain containing 1(SND1)
EWSR1	ENSG00000182944	Homo sapiens	EWS RNA binding protein 1(EWSR1)
DDIT3	ENSG00000175197	Homo sapiens	DNA damage inducible transcript 3(DDIT3)
GRWD1	ENSG00000105447	Homo sapiens	glutamate rich WD repeat containing 1(GRWD1)
XRN2	ENSG00000088930	Homo sapiens	5'-3' exoribonuclease 2(XRN2)
TBPL1	ENSG00000028839	Homo sapiens	TATA-box binding protein like 1(TBPL1)
SLBP	ENSG00000163950	Homo sapiens	stem-loop histone mRNA binding protein(SLBP)
MAGED1	ENSG00000179222	Homo sapiens	MAGE family member D1(MAGED1)
CSTF2	ENSG00000101811	Homo sapiens	cleavage stimulation factor subunit 2(CSTF2)
GATA6	ENSG00000141448	Homo sapiens	GATA binding protein 6(GATA6)
NOLC1	ENSG00000166197	Homo sapiens	nucleolar and coiled-body phosphoprotein 1(NOLC1)
ZC3HAV1	ENSG00000105939	Homo sapiens	zinc finger CCCH-type containing, antiviral 1(ZC3HAV1)
