"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedABHD2","P08910","Monoacylglycerol lipase ABHD2","Cell membrane (ECO:0000305), Flagellum membrane (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","null","0.127","Abhydrolase_1(alpha/beta hydrolase fold,PF00561)"
"undefinedADNP","Q9H2P0","Activity-dependent neuroprotector homeobox protein","Chromosome (ECO:0000250), Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","25.6","ADNP_N(Activity-dependent neuroprotector homeobox protein N-terminal,PF19627);Homeodomain(Homeodomain,PF00046)"
"undefinedADNP2","Q6IQ32","Activity-dependent neuroprotector homeobox protein 2","Nucleus (ECO:0000305)","Cytosol (Approved), Mitochondria (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014","0.515","ADNP_N(Activity-dependent neuroprotector homeobox protein N-terminal,PF19627);ADNP_N(Activity-dependent neuroprotector homeobox protein N-terminal,PF19627)"
"undefinedAEBP1","Q8IUX7","Adipocyte enhancer-binding protein 1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250), Secreted (ECO:0000250)","Cytosol (Approved), Nucleoplasm (Approved), Vesicles (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","31.5","F5_F8_type_C(F5/8 type C domain,PF00754);Peptidase_M14(Zinc carboxypeptidase,PF00246);CarboxypepD_reg(Carboxypeptidase regulatory-like domain,PF13620)"
"undefinedAHR","P35869","Aryl hydrocarbon receptor","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Cytosol (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","Ginno et al., 2018; Kustatscher et al., 2014","2.51","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989);PAS_3(PAS fold,PF08447)"
"undefinedAHRR","A9YTQ3","Aryl hydrocarbon receptor repressor","Cytoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010);PAS(PAS fold,PF00989)"
"undefinedALX1","Q15699","ALX homeobox protein 1","Nucleus (ECO:0000269)","Nuclear bodies (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014","0.113","Homeodomain(Homeodomain,PF00046)"
"undefinedALX3","O95076","Homeobox protein aristaless-like 3","Nucleus (ECO:0000255)","Nucleoli fibrillar center (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.013","Homeodomain(Homeodomain,PF00046)"
"undefinedALX4","Q9H161","Homeobox protein aristaless-like 4","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.043","Homeodomain(Homeodomain,PF00046)"
"undefinedANHX","E9PGG2","Anomalous homeobox protein","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.051","SIX1_SD(Transcriptional regulator, SIX1, N-terminal SD domain,PF16878);Homeodomain(Homeodomain,PF00046)"
