GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0003677	DNA binding	197	256	76.95%	2503	18890	13.25%	ALX1, ALX4, ARX, BARHL1, BARHL2, BARX1, BHLHE22, BSX, CBX2, CDX2, DBX1, DLX1, DLX2, DLX5, DLX6, DMBX1, DMRT1, DMRT2, DMRT3, DMRTA2, EBF1, EBF2, EBF3, EMX2, EN1, EN2, EOMES, EVX2, FERD3L, FEZF1, FEZF2, FLI1, FOXA1, FOXA2, FOXB1, FOXB2, FOXC2, FOXD1, FOXD2, FOXD3, FOXE1, FOXF1, FOXL1, FOXL2, GATA2, GATA3, GATA4, GATA6, GBX2, GFI1, GSC, GSX2, GTF3C2, HAND1, HAND2, HEY2, HIST1H1B, HLX, HOXA1, HOXA10, HOXA11, HOXA13, HOXA2, HOXA3, HOXA4, HOXA5, HOXA6, HOXA7, HOXA9, HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HOXC10, HOXC11, HOXC12, HOXC13, HOXC4, HOXC5, HOXC8, HOXC9, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, IRX3, IRX5, ISL1, ISL2, LBX1, LEF1, LHX2, LHX4, LHX5, LHX6, LHX8, LHX9, LIN28B, LMX1A, LMX1B, MECOM, MEIS1, MEIS2, MNX1, MSX1, MSX2, NEUROG2, NFIB, NKX2-3, NKX2-4, NKX2-5, NKX2-6, NKX6-1, NR2E1, NR2F2, NR4A2, NR5A2, OLIG1, OLIG2, OLIG3, ONECUT1, ONECUT2, OSR2, OTP, OTX2, PAX2, PAX3, PAX5, PAX6, PAX7, PAX8, PAX9, PHOX2B, PITX1, PITX2, POU4F1, POU4F2, POU4F3, PRDM1, PROX1, PTF1A, RUNX3, SALL1, SATB2, SHOX2, SIM1, SIM2, SIX1, SIX2, SIX3, SIX6, SKOR1, SKOR2, SOX1, SOX14, SOX17, SOX2, SOX21, SOX3, SP8, SP9, TAL1, TBR1, TBX15, TBX18, TBX2, TBX20, TBX3, TBX5, TCF21, TFAP2B, TFAP2D, TGIF1, TLX3, TWIST1, UNCX, VAX1, VAX2, WT1, ZFHX3, ZFHX4, ZIC1, ZIC2, ZIC3, ZIC4, ZIC5, ZNF883
GO:0140110	transcription regulator activity	195	256	76.17%	1930	18890	10.22%	ALX1, ALX4, ARX, BARHL1, BARHL2, BARX1, BHLHE22, BSX, CDX2, DBX1, DLX1, DLX2, DLX5, DLX6, DMBX1, DMRT1, DMRT2, DMRT3, DMRTA2, EBF1, EBF2, EBF3, EMX2, EN1, EN2, EOMES, EVX2, FERD3L, FEZF1, FEZF2, FLI1, FOXA1, FOXA2, FOXB1, FOXB2, FOXC2, FOXD1, FOXD2, FOXD3, FOXE1, FOXF1, FOXL1, FOXL2, GATA2, GATA3, GATA4, GATA6, GBX2, GFI1, GSC, GSX2, HAND1, HAND2, HEY2, HLX, HOXA1, HOXA10, HOXA11, HOXA13, HOXA2, HOXA3, HOXA4, HOXA5, HOXA6, HOXA7, HOXA9, HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, HOXC10, HOXC11, HOXC12, HOXC13, HOXC4, HOXC5, HOXC8, HOXC9, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, IRX3, IRX5, ISL1, ISL2, LBX1, LEF1, LHX2, LHX4, LHX5, LHX6, LHX8, LHX9, LMX1A, LMX1B, MCIDAS, MECOM, MEIS1, MEIS2, MNX1, MSX1, MSX2, NEUROG2, NFIB, NKX2-3, NKX2-4, NKX2-5, NKX2-6, NKX6-1, NR2E1, NR2F2, NR4A2, NR5A2, OLIG1, OLIG2, OLIG3, ONECUT1, ONECUT2, OSR2, OTP, OTX2, PAX2, PAX3, PAX5, PAX6, PAX7, PAX8, PAX9, PHOX2B, PITX1, PITX2, POU4F1, POU4F2, POU4F3, PRDM1, PROX1, PTF1A, RUNX3, SALL1, SATB2, SHOX2, SIM1, SIM2, SIX1, SIX2, SIX3, SIX6, SKOR1, SKOR2, SOX1, SOX14, SOX17, SOX2, SOX21, SOX3, SP8, SP9, TAL1, TBR1, TBX15, TBX18, TBX2, TBX20, TBX3, TBX5, TCF21, TFAP2B, TFAP2D, TGIF1, TLX3, TWIST1, UNCX, VAX1, VAX2, VGLL2, WT1, ZFHX3, ZFHX4, ZIC1, ZIC2, ZIC3, ZIC4, ZIC5, ZNF883
GO:0003824	catalytic activity	15	256	5.86%	5669	18890	30.01%	ATP5F1EP2, GAD1, GAD2, GPX8, HS3ST3B1, MECOM, MOGS, MYO3B, PGAM1, PGM5, PRDM1, PRDM6, PRKCH, RNF220, SLFN13
GO:0003723	RNA binding	14	256	5.47%	1655	18890	8.76%	CBX8, CDKN2A, DLX2, HIST1H1B, HOXB6, IGF2BP1, IGF2BP3, LIN28B, NOLC1, PAX6, PPRC1, SLFN13, SOX2, WT1
GO:0098772	molecular function regulator activity	10	256	3.91%	1979	18890	10.48%	ADCYAP1, CBX8, CCNC, CCNO, CDC20B, CDKN2A, FOXL2, LEF1, TAL1, WDR41
GO:0060089	molecular transducer activity	7	256	2.73%	1547	18890	8.19%	ANXA2R, FZD10, NR2E1, NR2F2, NR4A2, NR5A2, PAX8
GO:0016740	transferase activity	7	256	2.73%	2282	18890	12.08%	HS3ST3B1, MECOM, MYO3B, PRDM1, PRDM6, PRKCH, RNF220
GO:0005215	transporter activity	6	256	2.34%	1238	18890	6.55%	ATP5F1EP2, GJA3, GJB2, GJB6, SLC17A6, TMEM30B
GO:0140096	catalytic activity, acting on a protein	5	256	1.95%	2324	18890	12.30%	MECOM, MYO3B, PRDM6, PRKCH, RNF220
GO:0060090	molecular adaptor activity	5	256	1.95%	869	18890	4.60%	IGF2BP1, IGF2BP3, MCIDAS, NOLC1, VGLL2
