	chrom1	start1	end1	chrom2	start2	end2	region1	region2	contact_pair	dist_from_diag	pixel_size	gene1	gene2
0	chr1	18630000	18640000	chr1	24930000	24940000	('chr1', 18630000, 18640000)	('chr1', 24930000, 24940000)	(('chr1', 18630000, 18640000), ('chr1', 24930000, 24940000))	6300000.0	100000000	PAX7	RUNX3
1	chr1	18630000	18640000	chr1	44410000	44420000	('chr1', 18630000, 18640000)	('chr1', 44410000, 44420000)	(('chr1', 18630000, 18640000), ('chr1', 44410000, 44420000))	25780000.0	100000000	PAX7	RNF220
2	chr1	18630000	18640000	chr1	47230000	47240000	('chr1', 18630000, 18640000)	('chr1', 47230000, 47240000)	(('chr1', 18630000, 18640000), ('chr1', 47230000, 47240000))	28600000.0	100000000	PAX7	TAL1,AL135960.1
3	chr1	18630000	18640000	chr1	47430000	47440000	('chr1', 18630000, 18640000)	('chr1', 47430000, 47440000)	(('chr1', 18630000, 18640000), ('chr1', 47430000, 47440000))	28800000.0	100000000	PAX7	FOXD2,FOXD2-AS1
4	chr1	18630000	18640000	chr1	47710000	47720000	('chr1', 18630000, 18640000)	('chr1', 47710000, 47720000)	(('chr1', 18630000, 18640000), ('chr1', 47710000, 47720000))	29080000.0	100000000	PAX7	-
5	chr1	18630000	18640000	chr1	50420000	50430000	('chr1', 18630000, 18640000)	('chr1', 50420000, 50430000)	(('chr1', 18630000, 18640000), ('chr1', 50420000, 50430000))	31790000.0	100000000	PAX7	DMRTA2,AL049637.2
6	chr1	18630000	18640000	chr17	48500000	48640000	('chr1', 18630000, 18640000)	('chr17', 48500000, 48640000)	(('chr1', 18630000, 18640000), ('chr17', 48500000, 48640000))	29935000.0	1400000000	PAX7	HOXB1,HOXB2,HOXB3,HOXB4,HOXB5,HOXB6,HOXB7,HOXB8,HOXB9,HOXB-AS1,HOXB-AS2,HOXB-AS3,AC103702.1,HOXB-AS4,MIR196A1,AC103702.2,LINC02086
7	chr1	18630000	18640000	chr17	79780000	79800000	('chr1', 18630000, 18640000)	('chr17', 79780000, 79800000)	(('chr1', 18630000, 18640000), ('chr17', 79780000, 79800000))	61155000.0	200000000	PAX7	CBX2,CBX8,AC100791.2
8	chr1	24930000	24940000	chr1	44410000	44420000	('chr1', 24930000, 24940000)	('chr1', 44410000, 44420000)	(('chr1', 24930000, 24940000), ('chr1', 44410000, 44420000))	19480000.0	100000000	RUNX3	RNF220
9	chr1	24930000	24940000	chr1	47230000	47240000	('chr1', 24930000, 24940000)	('chr1', 47230000, 47240000)	(('chr1', 24930000, 24940000), ('chr1', 47230000, 47240000))	22300000.0	100000000	RUNX3	TAL1,AL135960.1
10	chr1	44410000	44420000	chr1	180230000	180240000	('chr1', 44410000, 44420000)	('chr1', 180230000, 180240000)	(('chr1', 44410000, 44420000), ('chr1', 180230000, 180240000))	135820000.0	100000000	RNF220	LHX4
11	chr1	46480000	46490000	chr1	50420000	50430000	('chr1', 46480000, 46490000)	('chr1', 50420000, 50430000)	(('chr1', 46480000, 46490000), ('chr1', 50420000, 50430000))	3940000.0	100000000	DMBX1	DMRTA2,AL049637.2
12	chr1	47230000	47240000	chr1	47710000	47720000	('chr1', 47230000, 47240000)	('chr1', 47710000, 47720000)	(('chr1', 47230000, 47240000), ('chr1', 47710000, 47720000))	480000.0	100000000	TAL1,AL135960.1	-
